Venue / Organization,Contact Name,Contact Email,Phone,Instagram Handle,Photo Permission Status,Status Date,Covers Future Events?,Notes,Event Count,Events on Site
American Music Theatre,,,(717) 397-7700,,Not contacted,,,No public email found — use contact form: amtshows.com/about/contact/,10,Three Dog Night at American Music Theatre; The Dolly Show — Dolly Parton Tribute at AMT; Aaron Lewis and The Stateliners at American Music Theatre; Eaglemania — World's Greatest Eagles Tribute; Patty Griffin & Kathleen Edwards at American Music Theatre; Tommy James & The Shondells at American Music Theatre; The Beach Boys: Saluting 60 Years of Pet Sounds; Jeremy Camp at American Music Theatre; Craig Morgan at American Music Theatre; Blue Öyster Cult at American Music Theatre
Appell Center — Strand Theatre,,boxoffice@appellcenter.org,717-846-1111,,Not contacted,,,,3,Herb Alpert & The Tijuana Brass at Appell Center; The High Kings — Rocky Road to Dublin; Everclear at Appell Center
Bird-in-Hand,,,,,Not contacted,,,,1,"Bird-in-Hand Half Marathon, 5K & Kids Fun Run"
Bird-in-Hand Event Field,,,,,Not contacted,,,,1,Bird-in-Hand Hot Air Balloon Festival
Bird-in-Hand Stage,,,(717) 768-1568,,Not contacted,,,Email on their site is obfuscated/unreadable — call or use site contact form,1,Dear Soldier Boy — Bird-in-Hand Stage
Bob Hoffman Fields,,,,,Not contacted,,,,1,Yorktoberfest
Carlisle Fairgrounds,,fairgrounds@carlisleevents.com,(717) 243-7855,,Not contacted,,,,4,Carlisle Chrysler Nationals; Carlisle Truck Nationals; Corvettes at Carlisle; Dueling Decades Fest
Cherry Crest Adventure Farm,,website@cherrycrestfarm.com,717-687-6843,,Not contacted,,,,3,Highland Cow Festival at Cherry Crest; Flower Festival at Cherry Crest Adventure Farm; Cider Donut Fall Festival at Cherry Crest
Children of Gettysburg 1863 (Rupp House),,,717-334-2436,,Not contacted,,,No public email found — part of Gettysburg Foundation (gettysburgfoundation.org),1,Patriotic Lawn Concert — Children of Gettysburg 1863
ChocolateTowne Square Park,,,,,Not contacted,,,,1,Choctoberfest — Hershey's Fall Chocolate Festival
Citizens Bank Park,,,,,Not contacted,,,,1,MLB All-Star Game 2026 — Philadelphia
Colonial Courthouse & York County Rail Trail,,,,,Not contacted,,,,1,Yorkfest Arts Festival
Coronet Park,,,,,Not contacted,,,,2,Tiny Park Concert Series — Le Ghast; Tiny Park Concert Series — RalphReal & The Family Jam
Denver Memorial Park,,,,,Not contacted,,,,1,The Denver Fair
Dillsburg Community Hall & Grounds,,,,,Not contacted,,,,1,111th Annual Dillsburg Farmers Fair
Downtown Carlisle (The Square),,,,,Not contacted,,,,1,"Corvette Parade, Park & Party"
Downtown Ephrata,,,,,Not contacted,,,,1,Ephrata Fair
Downtown Hanover,,mainstreethanover@gmail.com,717-637-6130,,Not contacted,,,Main Street Hanover — runs the 2nd Saturday program,2,Summer Celebration — 2nd Saturday Hanover; Oktoberfest Bites & Brews Stroll — 2nd Saturday Hanover
Downtown Lancaster City,,lancasterartspa@gmail.com,,,Not contacted,,,ArtWalk-specific contact (Lancaster Art Network). General Lancaster City Alliance: info@teamlanc.org,1,Lancaster ArtWalk
Downtown Lititz,,,717-626-6332,,Not contacted,,,Venture Lititz (downtown business association) — email via lititzpa.com/contact,1,Rotary Club of Lititz Craft Show
Downtown Lititz (E. Main Street),,,717-626-6332,,Not contacted,,,Venture Lititz (downtown business association) — email via lititzpa.com/contact,1,L'Italia Festival
Downtown New Holland,,,,,Not contacted,,,,1,New Holland Farmers Fair
Downtown Red Lion,,,,,Not contacted,,,,1,49th Annual Red Lion Street Fair
Downtown Shippensburg,,,,,Not contacted,,,,1,45th Annual Shippensburg Corn Festival
Downtown York,,,,,Not contacted,,,,1,York Halloween Parade
